city,latitude,temperature,humidity,cloudiness,wind_speed
kaitangata,-46.28,56.25,89,88,8.9
tombouctou,16.77,51.39,65,0,7.67
gladstone,-23.84,80.6,65,40,18.34
chernogorsk,53.83,-4.01,76,8,2.98
emerald,-23.53,95.0,30,0,5.82
san miguel,-34.54,76.42,64,0,10.29
gubkinskiy,64.43,18.9,88,88,9.69
north platte,41.12,19.04,87,1,4.32
ostrovnoy,68.05,31.5,94,92,9.8
burayevo,55.84,18.18,86,64,3.98
nokaneng,-19.66,71.73,72,0,14.27
cosamaloapan,18.36,66.74,71,100,11.81
porto novo,-23.68,68.0,77,40,2.24
tokur,53.13,-17.87,72,0,2.64
bagdarin,54.44,-10.76,62,64,2.86
salalah,17.01,84.2,32,0,3.36
namibe,-15.19,68.99,100,0,2.75
poum,41.28,23.58,93,80,1.74
sernur,56.93,26.64,93,92,10.02
oktyabrskiy,55.61,32.0,97,90,8.95
nyrob,60.74,22.77,89,92,10.58
creston,41.06,23.72,79,1,9.17
riyadh,24.63,62.6,67,0,8.05
road town,18.42,75.92,84,1,4.7
novyy rogachik,48.68,28.4,92,75,13.42
xuanzhou,30.95,41.9,100,92,16.4
pochutla,15.74,79.56,100,0,3.42
saiha,22.49,76.41,57,0,2.3
teguldet,57.31,3.96,81,80,3.65
coromandel,-36.76,66.2,82,80,6.93
mankono,8.06,66.06,90,20,2.75
huilong,28.89,36.9,85,44,4.43
victoria point,-27.58,80.01,57,40,13.87
kudahuvadhoo,2.67,82.49,100,56,8.57
plettenberg bay,-34.05,67.14,86,0,3.09
mongu,-15.27,72.81,83,0,10.69
ordzhonikidze,44.96,47.16,100,92,13.94
juneau,58.3,40.39,88,90,31.09
santa cruz de tenerife,28.47,62.6,67,0,8.05
kysyl-syr,63.9,-21.29,62,44,7.0
tiarei,-17.53,78.8,88,90,14.99
porto belo,-27.15,73.4,88,0,9.17
zhuanghe,39.7,29.07,100,80,9.46
kiunga,-6.12,83.75,83,32,1.97
vostok,46.45,0.59,60,0,2.75
waingapu,-9.65,82.26,95,36,4.76
tilichiki,60.47,-28.62,45,8,3.98
marsh harbour,26.54,70.47,100,24,20.54
yar-sale,66.83,14.9,94,92,10.25
talnakh,69.49,6.57,86,80,15.5
omsukchan,62.53,-34.79,59,20,2.53
tabou,4.42,81.0,100,12,9.91
ust-nera,64.57,-47.84,0,8,1.97
canton,40.8,26.13,91,90,6.93
massakory,13.0,62.1,27,0,14.72
calabozo,8.92,78.39,63,0,14.5
tibiri,13.59,55.4,47,0,11.41
zhigansk,66.77,-26.06,40,64,7.45
rioblanco,3.53,56.75,98,32,1.74
fairlie,33.31,36.28,86,1,10.13
sorong,-0.86,84.2,100,32,3.65
chaoyang,41.58,24.57,25,0,5.66
santa ines,-0.82,41.58,100,64,2.08
torfyanoy,58.49,28.89,93,92,10.25
rabaul,-4.2,81.77,100,24,2.64
voh,-20.95,80.1,85,32,13.38
marsaxlokk,35.84,57.2,67,20,13.87
kutum,14.2,49.68,42,0,11.25
mutuipe,-13.23,69.44,97,88,6.44
bolobo,-2.17,72.14,100,80,3.42
spring hill,28.46,46.8,97,40,11.59
northam,51.04,42.8,100,40,1.12
caohai,26.87,33.66,69,92,3.87
non sang,16.87,86.81,49,75,6.93
kiruna,67.86,12.2,85,0,4.43
luoyang,34.66,31.86,58,0,13.15
fare,-16.7,83.16,97,80,13.27
west wendover,40.74,26.06,84,40,2.75
congonhas,-20.5,55.35,97,32,2.75
havoysund,71.0,31.1,86,75,2.24
general pico,-35.66,69.21,92,0,11.25
rapid valley,44.06,24.82,53,1,6.93
